개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
5680000,5680000-101-2023-00118,2023-05-22,영업/정상,,234.38,343-030,31786,대덕별장,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 대덕로 199, 1층 (대덕동)",,,,영업,01,234.38,,01,,,한식,,,,168734.432663412    ,375820.647986991    ,충청남도 당진시 대덕동 390-4 ,,2025-11-06 10:44:03
5680000,5680000-101-2024-00236,2024-11-11,영업/정상,,172.40,343-050,31771,써리힐,기타,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 당진중앙2로 415, 1층 (수청동)",,,,영업,01,172.4,,01,,,기타,,,,168310.215696587    ,377732.620348873    ,충청남도 당진시 수청동 992 ,,2024-11-11 14:18:16
5680000,5680000-101-2004-00123,2004-10-11,폐업,2009-03-18,57.00,343-090,,웰빙 해초 보리 쌈밥,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,57,0,03,기타,,한식,,,0413574356,167771.826320462    ,379031.428260972    ,충청남도 당진시 원당동 983 ,,2007-10-24 13:48:02
5680000,5680000-101-2002-00023,1997-11-06,폐업,2022-02-11,37.82,343-913,31813,꾀꼬리식당,한식,I,,,,,,0,N,2025-12-15 16:15:28,충청남도 당진시 우강면 합우로 304-6,,,,폐업,02,37.82,0,03,,,한식,,,0413635170,180439.777943691    ,367568.352259857    ,충청남도 당진시 우강면 창리 350-11 ,,2022-03-30 15:33:49
5680000,5680000-101-2001-00148,2001-12-07,폐업,2004-12-02,77.40,343-823,,야식포장마차,한식,I,,,,,지하수전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,77.4,0,03,기타,,한식,,,0413566960,176997.09994551     ,386953.75433816     ,충청남도 당진시 송악읍 고대리 160-8 ,,2003-07-14 00:00:00
5680000,5680000-101-2006-00069,2006-04-04,폐업,2018-12-24,52.48,343-827,31724,벙개막창,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 신복운로4길 6-12,,,,폐업,02,52.48,0,03,주택가주변,,한식,,,0413576070,180536.75           ,382409.08           ,충청남도 당진시 송악읍 복운리 1646-9 ,,2018-12-24 14:06:06
5680000,5680000-101-1995-00110,1995-07-28,폐업,2026-01-13,93.96,343-851,31700,중화원,한식,I,,,,,,0,N,2026-01-14 22:46:23,"충청남도 당진시 석문면 대호만로 2273 (48,49번지 포함)",,,,폐업,02,93.96,0,03,,,한식,,,0413527530,156581.477953678    ,394209.995023278    ,"충청남도 당진시 석문면 교로리 901-46 48,49번지 포함 ",,2026-01-13 10:05:40
5680000,5680000-101-2003-00036,2003-05-23,영업/정상,,37.56,343-923,31769,네네치킨,한식,U,,,,,상수도전용,0,N,2026-06-23 03:03:03,충청남도 당진시 당진중앙2로 59-12 (읍내동),,,,영업,01,37.56,0,01,기타,,한식,,,0413557933,166829.064274706    ,376908.850159614    ,충청남도 당진시 읍내동 546-1 ,,2016-08-02 16:25:13
5680000,5680000-101-2022-00284,2022-12-12,영업/정상,,100.81,343-030,31777,대포집,기타,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 먹거리길 42-41, 101호 (대덕동)",,,,영업,01,100.81,,01,,,기타,,,,167206.5718419      ,376077.547038033    ,충청남도 당진시 대덕동 1465 농촌푸드 ,,2023-08-02 09:27:04
5680000,5680000-101-2015-00171,2015-08-07,폐업,2021-12-31,70.60,343-921,31770,조이앤시네마당진점,기타,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 당진중앙2로 191 (읍내동),,,,폐업,02,70.6,,03,,,기타,,,0413568300,167340.549802921    ,377291.158975118    ,충청남도 당진시 읍내동 251-4 ,,2021-12-31 11:49:22
5680000,5680000-101-2009-00054,2009-04-14,폐업,2009-09-10,142.93,343-856,,능금,호프/통닭,I,,,,,상수도전용,,N,2025-12-15 16:15:28,,,,,폐업,02,142.93,,03,,,호프/통닭,,,,163669.863937357    ,386828.948024361    ,충청남도 당진시 석문면 통정리 419-14 ,,2009-04-14 16:20:35
5680000,5680000-101-1994-00033,1994-04-08,폐업,1998-06-03,72.50,343-851,,왜목회관,한식,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,72.5,0,03,,,한식,,,0413520999,157804.604081978    ,393798.057161115    ,충청남도 당진시 석문면 교로리 844-11 ,,2002-02-06 00:00:00
5680000,5680000-101-2023-00102,2023-05-09,영업/정상,,18.15,343-924,31777,큰집김밥,분식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 당진시장길 69 (읍내동),,,,영업,01,18.15,,01,,,분식,,,,166774.390472268    ,376557.683342565    ,충청남도 당진시 읍내동 671-10 ,,2023-07-21 09:34:20
5680000,5680000-101-2025-00056,2025-04-09,폐업,2025-04-13,25.00,343-825,31737,알밤나라,기타,I,,,,,,,N,2025-12-15 16:15:28,"충청남도 당진시 송악읍 안틀모시길 11, 기지시줄다리기축제 행사장 내",,,,폐업,02,25,,03,,,기타,,,,172724.773456418    ,377171.892892312    ,충청남도 당진시 송악읍 기지시리 49-1 ,,2025-04-14 04:15:09
5680000,5680000-101-2007-00234,2007-11-16,폐업,2013-03-12,24.76,343-907,,스시990,횟집,I,,,,,상수도전용,,N,2025-12-15 16:15:28,,,,,폐업,02,24.76,,03,,,횟집,,,0413624441,179894.650438993    ,367657.206050475    ,충청남도 당진시 합덕읍 운산리 293-35 ,,2011-03-24 14:43:30
5680000,5680000-101-2015-00283,2015-12-03,폐업,2016-07-12,58.50,343-856,31703,수목식당,정종/대포집/소주방,I,,,,,,,N,2025-12-15 16:15:28,"충청남도 당진시 석문면 통정3안길 8-35, 지하1층",,,,폐업,02,58.5,,03,,,정종/대포집/소주방,,,,163551.51712699     ,386765.990894321    ,충청남도 당진시 석문면 통정리 385-16 지하1층 ,,2015-12-03 10:32:28
5680000,5680000-101-2018-00225,2018-12-26,영업/정상,,87.94,343-862,31800,집밥한식당,호프/통닭,U,,,,,,,N,2026-07-02 22:46:26,"충청남도 당진시 정미면 정미로 717, 1층 1,2호",,,,영업,01,87.94,,01,,,호프/통닭,,,,,,충청남도 당진시 정미면 천의리 248-33 ,,2026-07-01 10:46:49
5680000,5680000-101-2014-00023,2014-02-10,폐업,2019-07-04,43.91,343-835,31711,강남분식,분식,I,,,,,간이상수도,,N,2025-12-15 16:15:28,충청남도 당진시 송산면 송산로 817,,,,폐업,02,43.91,,03,기타,,분식,,,0413528348,172864.001721459    ,384271.297719226    ,충청남도 당진시 송산면 유곡리 219-11 ,,2019-07-04 10:10:10
5680000,5680000-101-2015-00170,2015-08-05,폐업,2015-09-11,130.00,343-851,31700,주몽호프,호프/통닭,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호만로 2351,,,,폐업,02,130,,03,,,호프/통닭,,,,155827.641451517    ,394336.185455603    ,충청남도 당진시 석문면 교로리 937-39 ,,2015-08-05 17:44:25
5680000,5680000-101-2011-00179,2011-10-31,영업/정상,,234.82,343-844,31793,들마루,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 고대면 보덕포로 75,,,,영업,01,234.82,,01,,,한식,,,0413585292,164849.218675647    ,379665.562862724    ,충청남도 당진시 고대면 진관리 313-1 ,,2022-08-10 16:42:38
5680000,5680000-101-2003-00085,2003-11-06,폐업,2022-03-11,68.80,343-884,31805,구이구이,기타,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 면천면 성하로 296,,,,폐업,02,68.8,0,03,기타,,기타,,,0413662690,170161.954632982    ,368213.537109899    ,충청남도 당진시 면천면 성상리 889-2 ,,2022-03-30 13:18:08
5680000,5680000-101-1996-00110,1996-11-27,폐업,2013-11-05,70.54,343-853,31706,아담,호프/통닭,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호로 1592-1,,,,폐업,02,70.54,0,03,,,호프/통닭,,,0413530756,158862.869336447    ,390358.682105151    ,충청남도 당진시 석문면 삼봉리 922-13 ,,2013-11-06 09:45:45
5680000,5680000-101-2008-00015,2008-01-29,폐업,2011-06-07,707.52,343-923,,아카사카,일식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,,,,,폐업,02,707.52,,03,,,일식,,,0413555080,166737.746818557    ,376885.368621803    ,충청남도 당진시 읍내동 553-2 ,,2011-06-30 07:24:01
5680000,5680000-101-1996-00157,1996-07-25,폐업,2013-07-19,44.60,343-851,31700,형제식당,한식,I,,,,,지하수전용,0,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호만로 2253,,,,폐업,02,44.6,0,03,기타,,한식,,,0413530929,156767.82451203     ,394184.66588876     ,충청남도 당진시 석문면 교로리 900-4 ,,2013-04-09 08:33:39
5680000,5680000-101-2005-00174,2005-11-09,폐업,2008-11-20,75.62,343-010,,데이지,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,75.62,0,03,유흥업소밀집지역,,한식,,,0413570260,,,충청남도 당진시 읍내동 556-9 ,,2007-01-17 00:00:00
5680000,5680000-101-2022-00097,2022-04-13,영업/정상,,104.00,343-030,31775,엉터리해장국대덕점,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 무수동로 12, 1층 (대덕동)",,,,영업,01,104,,01,,,한식,,,,167604.302910724    ,376112.080415176    ,충청남도 당진시 대덕동 1708 ,,2024-11-27 15:09:35
5680000,5680000-101-2025-00165,2025-09-22,영업/정상,,40.00,343-811,31748,퇴근길,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 신평면 거산3거리길 31, 1층 우측끝호",,,,영업,01,40,,01,,,한식,,,,178043.643887557    ,375477.821996024    ,충청남도 당진시 신평면 거산리 12-12 ,,2025-09-22 14:10:23
5680000,5680000-101-2019-00064,2019-04-02,영업/정상,,90.73,343-824,31733,정대냉면,냉면집,I,,,,,지하수전용,,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 반촌로 194,,,,영업,01,90.73,,01,,,냉면집,,,,173376.965804837    ,377842.381997828    ,충청남도 당진시 송악읍 반촌리 795-6 ,,2021-06-24 13:31:37
5680000,5680000-101-2013-00058,2013-04-03,폐업,2014-01-14,52.80,343-811,31748,뿔난신,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 신평면 거산3거리길 46,,,,폐업,02,52.8,,03,,,한식,,,0413620160,178136.205853253    ,375601.450647018    ,충청남도 당진시 신평면 거산리 13-4 ,,2013-08-23 11:32:53
5680000,5680000-101-2010-00095,2010-07-12,영업/정상,,44.40,343-050,31771,본죽&비빔밥터미널점,한식,I,,,,,상수도전용,1,N,2025-12-15 16:15:28,"충청남도 당진시 밤절로 168 (수청동,로뎀113호)",,,,영업,01,44.4,1,01,기타,,한식,,,0413576288,168466.580616255    ,377834.254417136    ,충청남도 당진시 수청동 997 로뎀113호 ,,2022-01-18 11:18:02
5680000,5680000-101-1994-00145,1994-11-28,영업/정상,,341.00,343-812,31741,신평농업협동조합구내식당,한식,I,,,,,,0,Y,2025-12-15 16:15:28,충청남도 당진시 신평면 신평로 794,,,,영업,01,341,0,01,,,한식,,,0413626337,180044.42766125     ,375769.672881367    ,충청남도 당진시 신평면 금천리 346-12 ,,2023-05-18 09:32:43
5680000,5680000-101-1994-00091,1994-09-06,폐업,2018-06-04,35.39,343-862,,비비처갓집치킨,한식,I,,,,,,0,N,2025-12-15 16:15:28,충청남도 당진시 정미면 천의길 16,,,,폐업,02,35.39,0,03,,,한식,,,0413536657,161400.361658478    ,375897.759687707    ,충청남도 당진시 정미면 천의리 259-20 ,,2018-06-04 17:56:14
5680000,5680000-101-2017-00135,2017-08-29,영업/정상,,78.08,343-851,31700,다연호프,호프/통닭,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호만로 2349,,,,영업,01,78.08,,01,,,호프/통닭,,,,155827.641451517    ,394336.185455603    ,충청남도 당진시 석문면 교로리 937-39 ,,2023-06-26 15:19:05
5680000,5680000-101-2000-00078,2000-09-05,폐업,2004-09-21,38.73,343-926,,밀라노&폴피자,패스트푸드,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,38.73,0,03,,,패스트푸드,,,0413565995,166506.815591728    ,376463.456948714    ,충청남도 당진시 채운동 236-7 ,,2003-07-14 00:00:00
5680000,5680000-101-2010-00051,2010-04-14,폐업,2016-03-18,185.31,343-835,31711,쌈지식당,한식,I,,,,,지하수전용,2,N,2025-12-15 16:15:28,충청남도 당진시 송산면 송산로 779 (A동),,,,폐업,02,185.31,1,03,아파트지역,,한식,,,,172635.701720824    ,384006.616115974    ,충청남도 당진시 송산면 유곡리 230-7 A동 ,,2016-05-31 17:45:13
5680000,5680000-101-2002-00224,2002-12-27,폐업,2022-02-11,47.57,343-924,31777,푸른바다와깍두기,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 당진중앙3로 10 (읍내동),,,,폐업,02,47.57,0,03,기타,,한식,,,0413555919,166664.165706811    ,376701.623212539    ,충청남도 당진시 읍내동 631-9 ,,2022-04-27 16:19:29
5680000,5680000-101-1997-00070,1997-04-11,폐업,2001-01-08,18.40,343-826,,주막거리,정종/대포집/소주방,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,18.4,0,03,,,정종/대포집/소주방,,,,177407.915735659    ,382089.064547081    ,충청남도 당진시 송악읍 중흥리 233-4 ,,2002-02-27 00:00:00
5680000,5680000-101-2025-00059,2025-04-09,폐업,2025-04-13,25.00,343-825,31737,해몰포차2,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 송악읍 안틀모시길 11, 기지시줄다리기 축제 행사장 내",,,,폐업,02,25,,03,,,한식,,,,172724.773456418    ,377171.892892312    ,충청남도 당진시 송악읍 기지시리 49-1 ,,2025-04-14 04:15:09
5680000,5680000-101-2011-00182,2011-11-11,폐업,2013-11-05,108.56,343-853,31706,와사비,일식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 석문면 대호로 1554-1,,,,폐업,02,108.56,,03,,,일식,,,0413535755,158582.567327999    ,390215.431890184    ,충청남도 당진시 석문면 삼봉리 908 ,,2013-11-05 17:37:02
5680000,5680000-101-2011-00077,2011-06-02,폐업,2016-06-16,42.78,343-827,31724,검상골,횟집,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 신복운로2길 31-21,,,,폐업,02,42.78,,03,주택가주변,,횟집,,,0413571555,180674.881709555    ,382380.050194574    ,충청남도 당진시 송악읍 복운리 1652-14 ,,2013-01-22 10:56:45
5680000,5680000-101-1973-00005,1973-06-13,영업/정상,,21.00,343-872,31798,대호반점,중국식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 대호지면 4.4만세로 48,,,,영업,01,21,,01,,,중국식,,,0413522510,155644.742427612    ,377696.60561298     ,충청남도 당진시 대호지면 조금리 192-2 ,,2022-07-29 10:46:07
5680000,5680000-101-2007-00216,2007-10-29,폐업,2014-04-10,120.94,343-827,31724,뼈다귀해장국,뷔페식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 신복운로2길 31-29,,,,폐업,02,120.94,,03,,,뷔페식,,,0413529995,180656.447053877    ,382406.028497983    ,충청남도 당진시 송악읍 복운리 1652-16 ,,2014-03-20 14:00:01
5680000,5680000-101-2008-00086,2008-05-01,폐업,2016-08-30,57.13,343-920,31777,시골순대국,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 시장중앙길 67 (읍내동),,,,폐업,02,57.13,,03,,,한식,,,0413540063,167028.134493118    ,376325.381497033    ,충청남도 당진시 읍내동 142-10 ,,2016-08-31 07:57:48
5680000,5680000-101-2015-00252,2015-11-04,폐업,2019-09-10,51.00,343-010,31768,탱글탱글낙곱새,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 북문로 3-12 (읍내동),,,,폐업,02,51,,03,,,한식,,,0413545355,166651.087856184    ,377464.778177531    ,충청남도 당진시 읍내동 1472 ,,2019-09-10 13:50:06
5680000,5680000-101-2025-00178,2025-10-20,영업/정상,,30.69,343-853,31706,사넬,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 석문면 대호만로 1748, LG전자 1층",,,,영업,01,30.69,,01,,,한식,,,,158682.655265302    ,390286.905241064    ,충청남도 당진시 석문면 삼봉리 923 LG전자 ,,2025-10-20 10:22:34
5680000,5680000-101-2013-00074,2013-04-23,폐업,2015-10-12,56.00,343-845,31793,천지호프,호프/통닭,I,,,,,지하수전용,,N,2025-12-15 16:15:28,충청남도 당진시 고대면 보덕포로 177-1,,,,폐업,02,56,,03,,,호프/통닭,,,,164489.988120646    ,380524.668466346    ,충청남도 당진시 고대면 용두리 647-6 ,,2015-10-13 10:25:21
5680000,5680000-101-1991-00020,1991-03-22,폐업,2013-05-03,,343-907,,아톰플라자,분식,I,,,,,,,N,2025-12-15 16:15:28,,,,,폐업,02,0,,03,,,분식,,,0413631617,,,충청남도 당진시 합덕읍 운산리 292-1 ,,2001-10-30 00:00:00
5680000,5680000-101-1996-00156,1996-07-23,영업/정상,,114.80,343-906,31816,석천가든,한식,I,,,,,상수도(음용)지하수(주방용)겸용,0,N,2025-12-15 16:15:28,충청남도 당진시 합덕읍 합덕대덕로 333-53,,,,영업,01,114.8,0,01,기타,,한식,,,,177162.752760628    ,365519.811887948    ,충청남도 당진시 합덕읍 석우리 751-6 ,,2023-05-03 17:44:44
5680000,5680000-101-2018-00223,2018-12-26,영업/정상,,52.57,343-827,31724,닭개장.김밥,한식,U,,,,,,,N,2026-06-19 03:03:03,충청남도 당진시 송악읍 신복운로4길 6-12,,,,영업,01,52.57,,01,,,한식,,,,180536.75           ,382409.08           ,충청남도 당진시 송악읍 복운리 1646-9 ,,2026-06-18 11:34:49
5680000,5680000-101-2013-00179,2013-10-10,폐업,2017-05-04,97.76,343-920,31776,청담,한식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 당진시장길 156 (읍내동, 1층)",,,,폐업,02,97.76,,03,기타,,한식,,,,167199.837188686    ,376643.11447384     ,충청남도 당진시 읍내동 158-3 1층 ,,2017-05-04 14:48:34
5680000,5680000-101-2004-00130,2004-10-21,폐업,2008-06-04,85.05,343-816,,광주횟집보현네,횟집,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,85.05,0,03,기타,,횟집,,,0413626666,184397.224358947    ,376214.419677316    ,충청남도 당진시 신평면 운정리 168-8 ,,2005-05-03 00:00:00
5680000,5680000-101-2020-00063,2020-04-23,영업/정상,,102.48,343-030,31776,검정고무신,호프/통닭,I,,,,,상수도전용,,N,2025-12-15 16:15:28,충청남도 당진시 먹거리길 72-10 (대덕동),,,,영업,01,102.48,,01,,,호프/통닭,,,,167292.066369286    ,376127.707341619    ,충청남도 당진시 대덕동 1501 ,,2025-04-30 16:52:28
5680000,5680000-101-2016-00179,2016-10-11,폐업,2018-09-28,118.80,,31786,먹고오리,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 아미로 720 (대덕동),,,,폐업,02,118.8,,03,,,한식,,,0413525295,167598.400055048    ,374742.794778303    ,,,2018-09-28 14:04:14
5680000,5680000-101-2011-00022,2011-03-07,폐업,2014-01-07,65.00,343-050,31771,스시나루,일식,I,,,,,상수도전용,,N,2025-12-15 16:15:28,"충청남도 당진시 밤절로 136, 201호 (수청동,시티타워)",,,,폐업,02,65,,03,주택가주변,,일식,,,0413572377,168309.20506039     ,377834.407591043    ,충청남도 당진시 수청동 980 시티타워 201호,,2011-03-07 15:29:09
5680000,5680000-101-2008-00189,2008-09-30,폐업,2012-05-02,306.31,343-831,,조아식당,한식,I,,,,,지하수전용,,N,2025-12-15 16:15:28,,,,,폐업,02,306.31,,03,,,한식,,,0413528760,,,충청남도 당진시 송산면 동곡리 161-47 ,,2008-09-30 09:53:15
5680000,5680000-101-2020-00227,2020-12-04,영업/정상,,33.30,343-920,31777,하루초밥,일식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 청룡길 245 (읍내동),,,,영업,01,33.3,,01,,,일식,,,,167112.076959738    ,376617.20380777     ,충청남도 당진시 읍내동 159-10 ,,2024-02-07 15:42:30
5680000,5680000-101-2018-00042,2018-03-21,폐업,2021-11-01,31.40,343-811,31748,언니네닭발,한식,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 신평면 거산3거리길 21,,,,폐업,02,31.4,,03,,,한식,,,,177974.512588053    ,375405.714818927    ,충청남도 당진시 신평면 거산리 183-6 ,,2021-11-01 15:28:30
5680000,5680000-101-2025-00019,2025-02-20,영업/정상,,52.48,343-923,31770,워터프리아스넥,한식,U,,,,,상수도전용,,N,2026-05-09 03:03:03,"충청남도 당진시 당진중앙1로 119-7, 당진워터프리아 2층 (읍내동)",,,,영업,01,52.48,,01,,,한식,,,,166944.736358613    ,377155.769172909    ,충청남도 당진시 읍내동 493-1 당진워터프리아 ,,2026-05-08 10:55:49
5680000,5680000-101-2015-00060,2015-03-30,폐업,2020-11-11,71.20,343-010,31768,자담치킨당진점,한식,I,,,,,,,N,2025-12-15 16:15:28,"충청남도 당진시 북문로1길 41-17, 102호 (읍내동)",,,,폐업,02,71.2,,03,,,한식,,,,167031.520161342    ,377915.81579875     ,충청남도 당진시 읍내동 1530 ,,2020-11-11 15:41:50
5680000,5680000-101-1998-00025,1998-03-31,영업/정상,,45.20,343-826,31728,오늘은내가쏜다,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,충청남도 당진시 송악읍 송악로 703,,,,영업,01,45.2,0,01,,,한식,,,0413576661,177467.701950827    ,382136.840671183    ,충청남도 당진시 송악읍 중흥리 224-6 ,,2022-02-10 18:49:40
5680000,5680000-101-2021-00271,2021-11-23,영업/정상,,161.00,343-895,31757,소다타이푸드,기타,I,,,,,,,N,2025-12-15 16:15:28,충청남도 당진시 순성면 순성로 455-3,,,,영업,01,161,,01,,,기타,,,,174001.282153239    ,371307.424648398    ,충청남도 당진시 순성면 봉소리 66-19 ,,2025-05-12 16:04:06
5680000,5680000-101-1982-00019,1982-09-01,폐업,2010-06-03,,343-907,,토방,한식,I,,,,,상수도전용,0,N,2025-12-15 16:15:28,,,,,폐업,02,0,0,03,,,한식,,,0413632449,179520.301895519    ,367263.551309368    ,충청남도 당진시 합덕읍 운산리 253-15 ,,2004-07-30 00:00:00
5680000,5680000-101-1993-00060,1993-06-12,폐업,1994-11-19,21.70,343-922,,정인실내포장마차,이동조리,I,,,,,,0,N,2025-12-15 16:15:28,,,,,폐업,02,21.7,0,03,,,이동조리,,,,166580.841861215    ,377286.487564432    ,충청남도 당진시 읍내동 412-12 ,,2002-02-04 00:00:00
